Date,Variação Total (R$),Variação Percentual,Nome
2022-07-11,36.95999877929688,0.19217969415191805,PETR4
2022-07-12,33.51999633789063,0.17429282621615338,PETR4
2022-07-13,33.68000000000001,0.17512479201331121,PETR4
2022-07-14,27.59999816894532,0.1435108057869452,PETR4
2022-07-15,31.359992675781257,0.1630615259764001,PETR4
2022-07-18,36.48000305175782,0.18968387610107018,PETR4
2022-07-19,41.12000244140626,0.2138103288342672,PETR4
2022-07-20,41.04000061035157,0.21339434593568818,PETR4
2022-07-21,39.84000366210938,0.20715476113825604,PETR4
2022-07-22,42.319999389648444,0.22004991363169957,PETR4
2022-07-25,53.28000610351563,0.277038301286999,PETR4
2022-07-26,55.760001831054694,0.28993345378044255,PETR4
2022-07-27,58.48000305175782,0.3040765549696227,PETR4
2022-07-28,66.00000732421876,0.3431780746891575,PETR4
2022-07-29,80.88001220703126,0.42054914833106927,PETR4
2022-08-01,77.12000244140626,0.4009983488009894,PETR4
2022-08-02,78.3200146484375,0.40723801293904693,PETR4
2022-08-03,78.47998779296876,0.40806982005495396,PETR4
2022-08-04,81.35999267578126,0.42304488704129195,PETR4
2022-08-05,86.63999145507813,0.45049912362249445,PETR4
2022-08-08,100.72000854492188,0.5237105269598683,PETR4
2022-08-09,105.51999633789063,0.5486688661495978,PETR4
2022-08-10,104.5600048828125,0.543677230047902,PETR4
2022-08-11,97.68,0.5079034941763727,PETR4
2022-08-12,61.35999267578126,0.3190515426153351,PETR4
2022-08-15,61.439994506835944,0.3194675255139141,PETR4
2022-08-16,63.75998657226563,0.3315307122101998,PETR4
2022-08-17,69.75998657226563,0.3627287155379868,PETR4
2022-08-18,75.0399853515625,0.3901829521191895,PETR4
2022-08-19,61.51999633789063,0.3198835084124929,PETR4
2022-08-22,66.95999877929688,0.34816971079085324,PETR4
2022-08-23,75.19998901367188,0.3910149179163471,PETR4
2022-08-24,76.7999951171875,0.39933441720667373,PETR4
2022-08-25,73.919990234375,0.38435935022033596,PETR4
